time,url,response_time,status_code,method,visitor_count
2024-01-01 00:00:00,/page_8,218.89778214313876,200,GET,218.89778214313876
2024-01-01 00:01:00,/page_10,181.6256085719618,200,POST,181.6256085719618
2024-01-01 00:02:00,/page_17,221.2185129420976,200,PUT,221.2185129420976
2024-01-01 00:03:00,/page_8,55.09762472450457,200,PUT,55.09762472450457
2024-01-01 00:04:00,/page_1,106.22621186011774,200,DELETE,106.22621186011774
2024-01-01 00:05:00,/page_7,235.70672997108068,200,POST,235.70672997108068
2024-01-01 00:06:00,/page_9,182.5113347641748,200,GET,182.5113347641748
2024-01-01 00:07:00,/page_12,151.16540809805687,404,GET,151.16540809805687
2024-01-01 00:08:00,/page_9,157.4886848665378,200,GET,157.4886848665378
2024-01-01 00:09:00,/page_3,275.7560910382699,200,POST,275.7560910382699
2024-01-01 00:10:00,/page_4,223.2056395461048,503,GET,223.2056395461048
2024-01-01 00:11:00,/page_10,123.88464087681574,200,GET,123.88464087681574
2024-01-01 00:12:00,/page_4,666.0645940693538,200,GET,666.0645940693538
2024-01-01 00:13:00,/page_9,185.40601970914904,301,POST,185.40601970914904
2024-01-01 00:14:00,/page_1,223.8204679171016,200,POST,223.8204679171016
2024-01-01 00:15:00,/page_5,160.27143108135752,400,GET,160.27143108135752
2024-01-01 00:16:00,/page_9,191.35266625773363,200,GET,191.35266625773363
2024-01-01 00:17:00,/page_5,205.7275594115088,200,GET,205.7275594115088
2024-01-01 00:18:00,/page_6,206.76342045513377,500,GET,206.76342045513377
2024-01-01 00:19:00,/page_19,80.24318905003717,200,GET,80.24318905003717
2024-01-01 00:20:00,/page_8,211.08206859015323,201,GET,211.08206859015323
2024-01-01 00:21:00,/page_10,113.35701785298257,200,DELETE,113.35701785298257
2024-01-01 00:22:00,/page_11,185.68007592495215,200,GET,185.68007592495215
2024-01-01 00:23:00,/page_13,174.92924765457508,400,GET,174.92924765457508
2024-01-01 00:24:00,/page_4,146.0633550399907,200,POST,146.0633550399907
2024-01-01 00:25:00,/page_11,242.1583602000608,200,GET,242.1583602000608
2024-01-01 00:26:00,/page_12,143.80120700516224,200,GET,143.80120700516224
2024-01-01 00:27:00,/page_5,173.85315553062676,200,GET,173.85315553062676
2024-01-01 00:28:00,/page_10,243.93670865015957,301,PUT,243.93670865015957
2024-01-01 00:29:00,/page_7,172.424979700517,400,GET,172.424979700517
2024-01-01 00:30:00,/page_9,959.4519362291488,200,GET,959.4519362291488
2024-01-01 00:31:00,/page_9,186.5922277973685,200,DELETE,186.5922277973685
2024-01-01 00:32:00,/page_10,227.02512602855492,200,POST,227.02512602855492
2024-01-01 00:33:00,/page_10,272.3153802397103,200,GET,272.3153802397103
2024-01-01 00:34:00,/page_2,153.19392010310878,201,POST,153.19392010310878
2024-01-01 00:35:00,/page_4,157.24590172669545,200,PUT,157.24590172669545
2024-01-01 00:36:00,/page_8,186.1832297536733,200,DELETE,186.1832297536733
2024-01-01 00:37:00,/page_14,211.50703256335876,500,DELETE,211.50703256335876
2024-01-01 00:38:00,/page_17,161.48766680013208,200,GET,161.48766680013208
2024-01-01 00:39:00,/page_13,234.42816839430773,200,GET,234.42816839430773
2024-01-01 00:40:00,/page_18,154.13611242737187,200,GET,154.13611242737187
2024-01-01 00:41:00,/page_18,104.95727052520186,201,GET,104.95727052520186
2024-01-01 00:42:00,/page_13,226.58876405828383,200,PUT,226.58876405828383
